model_name,candidate,cv_accuracy,cv_balanced_accuracy,cv_f1_macro
extra_trees,et_a,0.8650691051846142,0.8581751067222111,0.8587277309161626
extra_trees,et_b,0.8650635867530527,0.8579329027302899,0.8585828268456691
extra_trees,et_c,0.8627583377583561,0.85505133918446,0.8559770401065361
logistic_regression,c_0.5,0.8439530985913258,0.8388066815498343,0.8365944466069244
logistic_regression,c_1.0,0.8376408044666179,0.8321959473431345,0.8298689025575101
logistic_regression,c_2.0,0.8344616324771165,0.8294225959234336,0.8270526835333334
random_forest,rf_c,0.866385235611323,0.8585106051440821,0.8595582297334181
random_forest,rf_a,0.8657378263346693,0.8584566175689419,0.8591678983108688
random_forest,rf_b,0.8654994179657839,0.8584542972973441,0.8589839113920741
