mode,model_name,feature_count,cv_accuracy,cv_balanced_accuracy,cv_f1_macro,test_accuracy,test_balanced_accuracy,test_f1_macro
current_only_no_history,logistic_regression,46,0.4852354646864166,0.48504868704059945,0.475367226454944,0.4817813765182186,0.49667235470800586,0.48211908828317895
current_only_no_history,random_forest,46,0.5187397264865689,0.4882565342643783,0.48120249531740067,0.4898785425101215,0.47570006280393917,0.47261665197891034
current_only_no_history,extra_trees,46,0.47348341101394553,0.4635797821716299,0.45333246118873205,0.46639676113360323,0.4667387651852178,0.46208893208492224
with_history_features,extra_trees,95,0.8653013809857901,0.8582510379079249,0.8588290401755276,0.8704453441295547,0.8609516144141596,0.861968662406977
with_history_features,random_forest,95,0.866825723362289,0.8592281245567787,0.8602111731318738,0.8672064777327935,0.8557499030371635,0.8577171720526096
with_history_features,logistic_regression,95,0.8439530985913258,0.8388066815498343,0.8365944466069244,0.8380566801619433,0.8356079732963089,0.8298433360360387
