model_name,selected_candidate,cv_accuracy,cv_balanced_accuracy,cv_f1_macro,test_accuracy,test_balanced_accuracy,test_f1_macro
extra_trees,et_a,0.8650691051846142,0.8581751067222111,0.8587277309161626,0.8704453441295547,0.8609516144141596,0.861968662406977
random_forest,rf_c,0.866385235611323,0.8585106051440821,0.8595582297334181,0.8672064777327935,0.8558888885399107,0.857764171759595
logistic_regression,c_0.5,0.8439530985913258,0.8388066815498343,0.8365944466069244,0.8380566801619433,0.8356079732963089,0.8298433360360387
